Global Batch Size: 4096
Micro Batch Size (B): 128
Number of GPUs: 8
Gradient Accumulation Steps: 4
Decay params: 52 tensors, 86,444,544 elements
Non-decay params: 100 tensors, 123,112 elements
Using fused AdamW: True
RESUMING FROM STEP 10001 | New Max LR: 0.001
RESUME DEBUG: Batch Labels: tensor([586,  81, 235, 603, 408, 612, 803, 397,  16,  50])
RESUME DEBUG: Pixel Mean: -0.0127, Std: 1.1915
step 10001 | loss: 6.842347 | lr 8.2919e-04 | norm: 4.9667 | dt: 64493.22ms | img/sec: 63.51
step 10173 | loss: 6.782863 | lr 8.2112e-04 | norm: 2.0641 | dt: 1365.56ms | img/sec: 2999.50
step 10174 | loss: 6.769690 | lr 8.2107e-04 | norm: 2.1959 | dt: 1538.31ms | img/sec: 2662.67
step 10175 | loss: 6.784665 | lr 8.2103e-04 | norm: 3.0372 | dt: 1305.32ms | img/sec: 3137.93
step 10176 | loss: 6.769060 | lr 8.2098e-04 | norm: 1.9360 | dt: 1588.89ms | img/sec: 2577.89
step 10177 | loss: 6.804616 | lr 8.2093e-04 | norm: 1.5024 | dt: 1540.76ms | img/sec: 2658.43
step 10178 | loss: 6.746903 | lr 8.2088e-04 | norm: 3.2420 | dt: 1353.76ms | img/sec: 3025.66
step 10179 | loss: 6.782796 | lr 8.2084e-04 | norm: 1.9218 | dt: 1518.55ms | img/sec: 2697.31
step 10180 | loss: 6.782168 | lr 8.2079e-04 | norm: 2.6498 | dt: 1697.76ms | img/sec: 2412.59
step 10181 | loss: 6.799807 | lr 8.2074e-04 | norm: 1.2832 | dt: 1540.96ms | img/sec: 2658.08
step 10182 | loss: 6.764948 | lr 8.2069e-04 | norm: 3.2207 | dt: 1402.35ms | img/sec: 2920.80
step 10183 | loss: 6.756686 | lr 8.2065e-04 | norm: 0.9914 | dt: 1487.73ms | img/sec: 2753.19
step 10184 | loss: 6.778118 | lr 8.2060e-04 | norm: 1.5104 | dt: 1428.85ms | img/sec: 2866.63
step 10185 | loss: 6.802485 | lr 8.2055e-04 | norm: 2.6743 | dt: 2009.07ms | img/sec: 2038.76
step 10186 | loss: 6.801042 | lr 8.2050e-04 | norm: 2.8643 | dt: 2833.28ms | img/sec: 1445.67
step 10187 | loss: 6.816336 | lr 8.2046e-04 | norm: 1.4001 | dt: 1502.14ms | img/sec: 2726.78
step 10188 | loss: 6.777101 | lr 8.2041e-04 | norm: 1.0681 | dt: 1480.22ms | img/sec: 2767.15
step 10189 | loss: 6.772155 | lr 8.2036e-04 | norm: 2.9755 | dt: 3045.85ms | img/sec: 1344.78
step 10190 | loss: 6.756973 | lr 8.2032e-04 | norm: 1.4604 | dt: 1419.91ms | img/sec: 2884.70
step 10191 | loss: 6.741591 | lr 8.2027e-04 | norm: 1.4919 | dt: 2180.06ms | img/sec: 1878.85
step 10192 | loss: 6.776682 | lr 8.2022e-04 | norm: 1.7511 | dt: 1414.76ms | img/sec: 2895.18
step 10193 | loss: 6.769029 | lr 8.2017e-04 | norm: 2.7630 | dt: 1564.03ms | img/sec: 2618.88
step 10194 | loss: 6.791659 | lr 8.2013e-04 | norm: 1.8137 | dt: 2532.71ms | img/sec: 1617.24
step 10195 | loss: 6.757617 | lr 8.2008e-04 | norm: 1.8071 | dt: 1426.62ms | img/sec: 2871.12
step 10196 | loss: 6.729965 | lr 8.2003e-04 | norm: 4.9762 | dt: 2531.57ms | img/sec: 1617.97
step 10197 | loss: 6.797508 | lr 8.1998e-04 | norm: 2.6437 | dt: 1420.14ms | img/sec: 2884.23
