Global Batch Size: 4096
Micro Batch Size (B): 1024
Number of GPUs: 1
Gradient Accumulation Steps: 4
/venv/main/lib/python3.12/site-packages/webdataset/compat.py:381: UserWarning: set WebDataset(shardshuffle=...) to a positive integer or 0 or False
  warnings.warn("set WebDataset(shardshuffle=...) to a positive integer or 0 or False")
Decay params: 52 tensors, 86,490,624 elements
Non-decay params: 100 tensors, 123,112 elements
Using fused AdamW: True
SOTA SPRINT: Weights successfully mapped (File -> Model).
Resuming from step 105139. Total tensors loaded: 152
step 105272 | loss: 2.431792 | lr 1.9645e-05 | norm: 0.4903 | dt: 2144.18ms | img/sec: 1910.29
step 105273 | loss: 2.527492 | lr 1.9640e-05 | norm: 0.4935 | dt: 2061.85ms | img/sec: 1986.56
step 105274 | loss: 2.444418 | lr 1.9635e-05 | norm: 0.4790 | dt: 2171.65ms | img/sec: 1886.13
step 105275 | loss: 2.488101 | lr 1.9629e-05 | norm: 0.4838 | dt: 2151.52ms | img/sec: 1903.77
step 105276 | loss: 2.458903 | lr 1.9624e-05 | norm: 0.4800 | dt: 2102.77ms | img/sec: 1947.91
step 105277 | loss: 2.484624 | lr 1.9618e-05 | norm: 0.4813 | dt: 2071.66ms | img/sec: 1977.16
step 105278 | loss: 2.485472 | lr 1.9613e-05 | norm: 0.4845 | dt: 2067.04ms | img/sec: 1981.58
step 105279 | loss: 2.512666 | lr 1.9607e-05 | norm: 0.4872 | dt: 2073.29ms | img/sec: 1975.60
step 105280 | loss: 2.383322 | lr 1.9602e-05 | norm: 0.4837 | dt: 2062.56ms | img/sec: 1985.89
step 105281 | loss: 2.527710 | lr 1.9596e-05 | norm: 0.5026 | dt: 2063.59ms | img/sec: 1984.89
step 105282 | loss: 2.537329 | lr 1.9590e-05 | norm: 0.4896 | dt: 2081.18ms | img/sec: 1968.11
step 105283 | loss: 2.503998 | lr 1.9585e-05 | norm: 0.4993 | dt: 2083.78ms | img/sec: 1965.66
step 105284 | loss: 2.466060 | lr 1.9579e-05 | norm: 0.4800 | dt: 2072.37ms | img/sec: 1976.48
step 105285 | loss: 2.480564 | lr 1.9573e-05 | norm: 0.4766 | dt: 2059.83ms | img/sec: 1988.51
step 105286 | loss: 2.499838 | lr 1.9567e-05 | norm: 0.4750 | dt: 2096.74ms | img/sec: 1953.51
step 105287 | loss: 2.532235 | lr 1.9561e-05 | norm: 0.4819 | dt: 2091.21ms | img/sec: 1958.68
step 105288 | loss: 2.472707 | lr 1.9555e-05 | norm: 0.4717 | dt: 2214.40ms | img/sec: 1849.71
step 105289 | loss: 2.457127 | lr 1.9549e-05 | norm: 0.4832 | dt: 2081.64ms | img/sec: 1967.68
step 105290 | loss: 2.491843 | lr 1.9543e-05 | norm: 0.4904 | dt: 2062.45ms | img/sec: 1985.99
step 105291 | loss: 2.512997 | lr 1.9537e-05 | norm: 0.4966 | dt: 2173.80ms | img/sec: 1884.26
step 105292 | loss: 2.490715 | lr 1.9531e-05 | norm: 0.5041 | dt: 2113.32ms | img/sec: 1938.18
step 105293 | loss: 2.465970 | lr 1.9525e-05 | norm: 0.5024 | dt: 2065.01ms | img/sec: 1983.53
step 105294 | loss: 2.502050 | lr 1.9519e-05 | norm: 0.4922 | dt: 2102.79ms | img/sec: 1947.89
step 105295 | loss: 2.531007 | lr 1.9513e-05 | norm: 0.4736 | dt: 2078.15ms | img/sec: 1970.99
step 105296 | loss: 2.485813 | lr 1.9507e-05 | norm: 0.4854 | dt: 2088.16ms | img/sec: 1961.53
step 105297 | loss: 2.509934 | lr 1.9501e-05 | norm: 0.4846 | dt: 2110.33ms | img/sec: 1940.93
step 105298 | loss: 2.488326 | lr 1.9494e-05 | norm: 0.4813 | dt: 2068.40ms | img/sec: 1980.28
step 105299 | loss: 2.449629 | lr 1.9488e-05 | norm: 0.5049 | dt: 2060.25ms | img/sec: 1988.11
step 105300 | loss: 2.429226 | lr 1.9482e-05 | norm: 0.4684 | dt: 2084.05ms | img/sec: 1965.41
