Global Batch Size: 4096
Micro Batch Size (B): 1024
Number of GPUs: 1
Gradient Accumulation Steps: 4
/venv/main/lib/python3.12/site-packages/webdataset/compat.py:381: UserWarning: set WebDataset(shardshuffle=...) to a positive integer or 0 or False
  warnings.warn("set WebDataset(shardshuffle=...) to a positive integer or 0 or False")
Decay params: 52 tensors, 86,444,544 elements
Non-decay params: 100 tensors, 123,112 elements
Using fused AdamW: True
SOTA SPRINT: Weights successfully mapped (File -> Model).
Resuming from step 93599. Total tensors loaded: 152
step 93740 | loss: 2.474398 | lr 6.8269e-04 | norm: 1.7729 | dt: 1674.13ms | img/sec: 2446.65
step 93741 | loss: 2.387553 | lr 6.8750e-04 | norm: 2.0790 | dt: 1650.55ms | img/sec: 2481.59
step 93742 | loss: 2.515358 | lr 6.9231e-04 | norm: 1.9735 | dt: 1651.52ms | img/sec: 2480.15
step 93743 | loss: 2.569682 | lr 6.9712e-04 | norm: 2.0843 | dt: 1670.27ms | img/sec: 2452.29
step 93744 | loss: 2.519414 | lr 7.0192e-04 | norm: 1.9446 | dt: 1647.61ms | img/sec: 2486.02
step 93745 | loss: 2.598156 | lr 7.0673e-04 | norm: 2.1593 | dt: 1751.40ms | img/sec: 2338.70
step 93746 | loss: 2.532778 | lr 7.1154e-04 | norm: 2.0252 | dt: 1657.44ms | img/sec: 2471.29
step 93747 | loss: 2.489709 | lr 7.1635e-04 | norm: 1.7006 | dt: 1649.24ms | img/sec: 2483.57
step 93748 | loss: 2.463438 | lr 7.2115e-04 | norm: 1.8889 | dt: 1701.66ms | img/sec: 2407.06
step 93749 | loss: 2.471072 | lr 7.2596e-04 | norm: 1.7300 | dt: 1663.31ms | img/sec: 2462.57
step 93750 | loss: 2.542383 | lr 7.3077e-04 | norm: 2.1391 | dt: 1658.99ms | img/sec: 2468.97
step 93751 | loss: 2.496643 | lr 7.3558e-04 | norm: 1.9954 | dt: 1761.42ms | img/sec: 2325.40
step 93752 | loss: 2.590239 | lr 7.4038e-04 | norm: 2.0114 | dt: 1692.76ms | img/sec: 2419.72
step 93753 | loss: 2.522697 | lr 7.4519e-04 | norm: 1.8334 | dt: 1659.04ms | img/sec: 2468.90
step 93754 | loss: 2.514083 | lr 7.5000e-04 | norm: 2.1727 | dt: 1652.72ms | img/sec: 2478.34
step 93755 | loss: 2.575465 | lr 7.5481e-04 | norm: 2.1721 | dt: 1665.95ms | img/sec: 2458.66
step 93756 | loss: 2.579712 | lr 7.5962e-04 | norm: 2.2686 | dt: 1713.57ms | img/sec: 2390.33
step 93757 | loss: 2.602864 | lr 7.6442e-04 | norm: 2.0292 | dt: 1715.26ms | img/sec: 2387.98
step 93758 | loss: 2.568921 | lr 7.6923e-04 | norm: 1.6478 | dt: 1695.39ms | img/sec: 2415.97
step 93759 | loss: 2.510295 | lr 7.7404e-04 | norm: 1.9807 | dt: 1732.72ms | img/sec: 2363.92
step 93760 | loss: 2.649370 | lr 7.7885e-04 | norm: 2.0647 | dt: 1660.30ms | img/sec: 2467.03
step 93761 | loss: 2.610903 | lr 7.8365e-04 | norm: 1.7082 | dt: 1692.60ms | img/sec: 2419.95
step 93762 | loss: 2.469141 | lr 7.8846e-04 | norm: 1.8468 | dt: 1659.33ms | img/sec: 2468.46
step 93763 | loss: 2.560430 | lr 7.9327e-04 | norm: 2.2826 | dt: 1656.61ms | img/sec: 2472.52
step 93764 | loss: 2.485647 | lr 7.9808e-04 | norm: 2.2193 | dt: 1651.11ms | img/sec: 2480.76
step 93765 | loss: 2.568606 | lr 8.0288e-04 | norm: 1.8512 | dt: 1681.02ms | img/sec: 2436.61
step 93766 | loss: 2.562964 | lr 8.0769e-04 | norm: 1.8994 | dt: 1761.69ms | img/sec: 2325.04
step 93767 | loss: 2.481790 | lr 8.1250e-04 | norm: 1.8235 | dt: 1656.17ms | img/sec: 2473.18
step 93768 | loss: 2.670131 | lr 8.1731e-04 | norm: 2.0319 | dt: 1649.09ms | img/sec: 2483.79
step 93769 | loss: 2.556860 | lr 8.2212e-04 | norm: 2.0749 | dt: 1662.20ms | img/sec: 2464.20
step 93770 | loss: 2.588771 | lr 8.2692e-04 | norm: 1.9349 | dt: 1657.35ms | img/sec: 2471.41
step 93771 | loss: 2.577873 | lr 8.3173e-04 | norm: 2.0253 | dt: 1745.11ms | img/sec: 2347.13
step 93772 | loss: 2.662657 | lr 8.3654e-04 | norm: 1.9478 | dt: 1696.62ms | img/sec: 2414.21
step 93773 | loss: 2.644817 | lr 8.4135e-04 | norm: 2.0153 | dt: 1671.14ms | img/sec: 2451.03
step 93774 | loss: 2.559237 | lr 8.4615e-04 | norm: 1.7100 | dt: 1718.49ms | img/sec: 2383.49
step 93775 | loss: 2.647250 | lr 8.5096e-04 | norm: 1.8162 | dt: 1704.65ms | img/sec: 2402.83
step 93776 | loss: 2.564051 | lr 8.5577e-04 | norm: 2.1784 | dt: 1682.38ms | img/sec: 2434.65
step 93777 | loss: 2.606532 | lr 8.6058e-04 | norm: 1.8718 | dt: 1666.11ms | img/sec: 2458.42
step 93778 | loss: 2.621800 | lr 8.6538e-04 | norm: 1.8925 | dt: 1654.52ms | img/sec: 2475.64
step 93779 | loss: 2.607064 | lr 8.7019e-04 | norm: 2.3030 | dt: 1652.04ms | img/sec: 2479.35
step 93780 | loss: 2.667778 | lr 8.7500e-04 | norm: 1.9779 | dt: 1707.38ms | img/sec: 2399.00
step 93781 | loss: 2.690183 | lr 8.7981e-04 | norm: 1.5390 | dt: 1695.28ms | img/sec: 2416.12
step 93782 | loss: 2.726508 | lr 8.8462e-04 | norm: 2.4909 | dt: 1655.45ms | img/sec: 2474.25
step 93783 | loss: 2.666126 | lr 8.8942e-04 | norm: 1.9222 | dt: 1706.06ms | img/sec: 2400.85
step 93784 | loss: 2.666814 | lr 8.9423e-04 | norm: 1.9381 | dt: 1651.29ms | img/sec: 2480.48
step 93785 | loss: 2.609730 | lr 8.9904e-04 | norm: 1.6560 | dt: 1740.82ms | img/sec: 2352.92
step 93786 | loss: 2.671231 | lr 9.0385e-04 | norm: 1.8020 | dt: 1652.92ms | img/sec: 2478.03
step 93787 | loss: 2.662497 | lr 9.0865e-04 | norm: 1.8919 | dt: 1663.75ms | img/sec: 2461.91
step 93788 | loss: 2.609834 | lr 9.1346e-04 | norm: 1.9567 | dt: 1724.44ms | img/sec: 2375.27
step 93789 | loss: 2.623057 | lr 9.1827e-04 | norm: 1.6434 | dt: 1701.17ms | img/sec: 2407.75
step 93790 | loss: 2.886768 | lr 9.2308e-04 | norm: 2.3763 | dt: 1764.67ms | img/sec: 2321.12
step 93791 | loss: 2.733559 | lr 9.2788e-04 | norm: 2.2278 | dt: 1740.65ms | img/sec: 2353.14
step 93792 | loss: 2.683472 | lr 9.3269e-04 | norm: 1.6977 | dt: 1710.47ms | img/sec: 2394.66
step 93793 | loss: 2.681908 | lr 9.3750e-04 | norm: 1.7775 | dt: 1646.38ms | img/sec: 2487.89
